timestamp,input_file,output_file,detector,detection_type,original_snippet,action,notes
2025-10-02T19:03:04.698500,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_001.png,cleansed_output\File_001.png,spacy,PERSON,Lu,mask,box:16
2025-10-02T19:03:04.703502,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_001.png,cleansed_output\File_001.png,spacy,PERSON,Lu,mask,box:21
2025-10-02T19:03:05.146123,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_003.png,cleansed_output\File_003.png,spacy,ORG,LOG,mask,box:9
2025-10-02T19:03:05.152124,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_003.png,cleansed_output\File_003.png,spacy,ORG,PLEASE,mask,box:12
2025-10-02T19:03:05.177138,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_003.png,cleansed_output\File_003.png,spacy,PERSON,Kate,mask,box:57
2025-10-02T19:03:05.198137,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_003.png,cleansed_output\File_003.png,spacy,PERSON,James,mask,box:69
2025-10-02T19:03:05.611198,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_004.png,cleansed_output\File_004.png,spacy,ORG,digital,mask,box:30
2025-10-02T19:03:05.673388,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_004.png,cleansed_output\File_004.png,spacy,GPE,GB,mask,box:70
2025-10-02T19:03:05.735388,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_004.png,cleansed_output\File_004.png,spacy,ORG,Javier,mask,box:113
2025-10-02T19:03:05.737389,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_004.png,cleansed_output\File_004.png,spacy,ORG,Jacobs,mask,box:114
2025-10-02T19:03:05.917227,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_005.png,cleansed_output\File_005.png,spacy,ORG,DMZ,mask,box:13
2025-10-02T19:03:06.255380,C:\Users\hp\PycharmProjects\pythonProjects\OptiveProject\Phase1_FileAnalyzer\extracts_files\Files\File_006.jpg,cleansed_output\File_006.jpg,spacy,GPE,fH,mask,box:60
